Axin1,Dvl1
Ctnnb1,Cxxc4
Ror2,Fzd2
Csnk2b,Cbx2
Mapk1,PARP1
Myc,Kdm1a
Klf4,Smad2
Klf4,Smad3
runx2b,Vdr
Runx2,Vdr
RUNX1,Vdr
RUNX3,Vdr
Mapk3,Prkca
Mapk3,Mapk1
Mapk3,Cnn3
Mapk1,Prkca
Mapk1,Cnn3
Cnn3,Prkca
Cnn1,Mapk1
Xrcc6,TP53
Atm,TP53
Atr,TP53
Chek2,TP53
Ubc,Itpr3
Ret,Ubc
Cbl,Ret
Tp53,Hsp90aa1
Tp53,Hspa4
Tp53,Cyp27b1
Ubxn2b,Vcp
Ubc,Vcp
Cdk9,Gata4
Ep300,Gata4
Tacr1,Ubc
Tradd,Ubc
Prkcd,Ubc
Prkca,Ubc
Prkce,Ubc
Ahr,Ubc
Ahr,Aip
Ahr,Hsp90aa1
Ahr,Arnt
Traf6,Numbl
RARA,Pdia3
Cdkn1b,Rnf123
Creb1,Ubc
Kcnq3,Nedd4
Nedd4,Kcnq2
Kcnq3,Ubc
Kcnq2,Ubc
Itpr1,Ubc
Itpr2,Ubc
Pten,Ubc
Pten,Nedd4
Cks1b,Skp2
Skp2,Kras
Skp2,Cdkn1c
Skp2,Rbl2
Cdk4,Rassf1
Skp2,Rassf1
Ubc,Kras
Ubc,Cdkn1b
Ubc,Cdkn1c
Ubc,Rbl2
Ubc,Rassf1
Ubr2,Ube2b
Foxo1,Sirt1
Cyp3a62,Ubc
Egfr,Cbl
Egfr,Ubc
Cbl,Spry2
Cbl,Ubc
NEDD4,Tnik
NEDD4,Rap2a
Rnf187,Jun
Cbl,Irs1
Kcnq1,Ubc
Apbb1,NEDD4L
Nedd4l,APBB1
Snca,Siah1
PARK2,Atxn3
Camkk2,SNF1
Ppm1a,SNF1
Siah2,Snca
STAU1,Rplp0
STAU1,Pabpc1
STAU1,Ppp1ca
Trpv4,Arrb1
Trpv4,Agtr1a
Stub1,Nefm
Ksr1,Map2k1
Ksr1,Map2k2
Ksr1,Ywhab
Ksr1,Hsp90aa1
Ksr1,Cdc37
Cdk4,Runx3
Gpsm1,Usp9x
Mib1,Ago2
Mib1,Nipsnap1
Mib1,Rab11fip2
Mib1,Kif2a
Mib1,Kif21a
Mib1,Eea1
Mib1,Kpnb1
Mib1,Kpna1
Mib1,Csnk2a1
Mib1,Pptc7
Mib1,Cdk5
Mib1,Mark1
Mib1,Brcc3
Mib1,Usp9x
Mib1,Coro1a
Mib1,Dtna
Mib1,Dtnb
Mib1,Sntb1
Mib1,Sdc4
Mib1,Ctnnd1
Mib1,Hnrnpul1
Mib1,Psmd14
Mib1,Cdk5r1
Cdk5r1,Cdk5
Cacna1c,Vcp
Cacna1c,Derl1
Trim13,Cacna1c
PPP1CC,Eif2b5
PPP1CA,Eif2b5
Erlin1,Erlin2
Prkaca,HIST2H2BE
Prkaca,HIST1H4A
Prkaca,MBP
Cdk2,Kras
Kras,Cdc27
Kras,Cdc20
Cdc27,Cdc20
Tp53,Ubc
Tp53,Mdm2
Nos1,HSPA4
Nos1,HSP90AA1
Nos1,STUB1
Usp9x,Snca
NRGN,Calm1
Irs4,Asb4
Hif1a,Cul2
Hif1a,Vhl
Hif1a,Mdm2
Hif1a,Ubc
Grm5,Gopc
Grm5,GOPC
Ubc,Gad2
Ubc,Gad1
Ctnnd2,Ubc
Ctnnd2,Apc
Ctnnd2,Ctnnb1
Ctnnd2,Gsk3b
Ctnnb1,Apc
Gsk3b,Ctnnb1
Gsk3b,Apc
Cdkn1b,Rchy1
Tnni3,Ubc
Tnnt2,Ubc
PGR,Batf3
PGR,Jdp2
Dcn,Ubc
Calm1,Pth1r
Calm1,Pth2r
Calm1,Vipr2
Calm1,Vipr1
Calm1,Crhr1
Calm1,Calcr
Calm1,Glp1r
Calm1,Glp2r
Calm1,Sctr
Prkcg,GABRR1
Camk2n1,GABRR1
SMURF1,Pard6a
Esr1,Ubc
Esr1,Stub1
Esr1,Bag1
Stub1,Bag1
Esr2,Ubc
Esr1,Nedd8
Drd1,Grin1
Drd1,Grin2a
Grin1,Grin2a
Cebpg,E2f4
Cebpg,Rb1
Cebpg,Smarcd2
CUL5,Tceb2
Cul4a,Tceb2
Cul4a,Tceb3
DSK2,Bcl2l11
mud1,Bcl2l11
Slc2a1,Ubc
Ubc,Arrb2
Grm2,RANBP9
Grm8,Flna
Grm8,Hipk2
Grm8,Pias1
Grm8,Pias3
Grm8,Rock2
Grm8,Ube2i
Grm8,Ube2m
Grm4,Pias1
Grm6,Pias1
Grm7,Pias1
Grm8,Pias1
Grm4,PIAS3
Grm6,PIAS3
